leak_rate,radius_m,reid_rate,n_leaked,tecnica
0.01,50,0.0,2922,permutacao
0.01,100,0.0,2922,permutacao
0.01,200,0.0,2922,permutacao
0.05,50,0.0,14611,permutacao
0.05,100,0.0,14611,permutacao
0.05,200,0.0,14611,permutacao
0.1,50,0.0,29222,permutacao
0.1,100,0.0,29222,permutacao
0.1,200,0.0,29222,permutacao
0.01,50,0.0,2921,dp_eps_1.0
0.01,100,0.0,2921,dp_eps_1.0
0.01,200,0.0,2921,dp_eps_1.0
0.05,50,6.84603272403642e-05,14607,dp_eps_1.0
0.05,100,6.84603272403642e-05,14607,dp_eps_1.0
0.05,200,6.84603272403642e-05,14607,dp_eps_1.0
0.1,50,3.422899195618689e-05,29215,dp_eps_1.0
0.1,100,3.422899195618689e-05,29215,dp_eps_1.0
0.1,200,3.422899195618689e-05,29215,dp_eps_1.0
