data,y_true,y_pred,y_proba
2023-01-01,0,0,0.0021244294475764036
2023-01-08,0,0,0.0021244294475764036
2023-01-15,1,0,0.008802722208201885
2023-01-22,0,0,0.0037744485307484865
2023-01-29,0,1,0.8743263483047485
2023-02-05,0,0,0.3347315788269043
2023-02-12,1,1,0.5290131568908691
2023-02-19,1,0,0.25719308853149414
2023-02-26,0,1,0.6626931428909302
2023-03-05,0,1,0.989754855632782
2023-03-12,1,0,0.04654740169644356
2023-03-19,1,1,0.9473366141319275
2023-03-26,1,1,0.982555627822876
2023-04-02,1,1,0.9169037938117981
2023-04-09,1,1,0.8684525489807129
2023-04-16,1,1,0.6291906833648682
2023-04-23,1,1,0.6549919843673706
2023-04-30,1,1,0.8908635377883911
2023-05-07,1,1,0.9820290207862854
2023-05-14,1,1,0.9701822400093079
2023-05-21,1,0,0.4433407485485077
2023-05-28,1,1,0.6779027581214905
2023-06-04,1,1,0.9180982708930969
2023-06-11,1,1,0.9802321195602417
